# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 28 05:32:23 2022
#
# User preference: *
#
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,pl_orbsmax,pl_radj,pl_massj,st_rad,st_mass,ra,dec,sy_dist,sy_gaiamag
Kepler-130 b,Kepler-130,,,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 b,Kepler-130,,,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 b,Kepler-130,0.079500,,,1.13,0.93,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 b,Kepler-130,,,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 b,Kepler-130,0.080000,,,1.11,0.96,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 b,Kepler-130,,0.092,,1.18,1.02,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 b,Kepler-130,0.079500,,,1.13,0.93,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 b,Kepler-130,,0.087,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 b,Kepler-130,,0.092,,1.15,,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 b,Kepler-130,0.079500,,,1.13,0.93,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,,0.268,,1.15,,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,,0.263,,1.18,1.02,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,0.174500,,,1.13,0.93,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,,,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,0.178000,0.259,,1.17,1.00,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,0.176000,,,1.11,0.96,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,0.174500,,,1.13,0.93,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,,,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,,,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,,0.251,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,0.175400,,,1.14,0.95,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 c,Kepler-130,0.174500,,,1.13,0.93,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,0.377500,,,1.13,0.93,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,0.377000,0.146,,1.13,,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,,,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,,0.126,,1.18,1.02,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,,,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,0.379400,,,1.14,0.95,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,0.377500,,,1.13,0.93,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,0.377500,,,1.13,0.93,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,,0.166,,1.15,,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,,,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,0.381000,,,1.11,0.96,288.4505905,40.2452006,316.6630000,11.8253000
Kepler-130 d,Kepler-130,,0.117,,1.18,1.09,288.4505905,40.2452006,316.6630000,11.8253000
WASP-73 b,WASP-73,0.055170,1.160,1.87900,2.07,1.34,319.9496969,-58.1489328,316.6780000,10.2607000
WASP-73 b,WASP-73,,,,2.22,1.16,319.9496969,-58.1489328,316.6780000,10.2607000
WASP-73 b,WASP-73,,1.420,2.86000,2.55,2.52,319.9496969,-58.1489328,316.6780000,10.2607000
WASP-73 b,WASP-73,0.055120,1.160,1.88000,2.07,1.34,319.9496969,-58.1489328,316.6780000,10.2607000
K2-6 b,K2-6,,0.273,,0.96,,178.1921152,-1.1984418,316.8190000,12.5018000
K2-6 b,K2-6,,0.206,,0.86,0.93,178.1921152,-1.1984418,316.8190000,12.5018000
K2-6 b,K2-6,0.188200,0.223,,1.01,0.93,178.1921152,-1.1984418,316.8190000,12.5018000
K2-6 b,K2-6,,0.218,,0.86,,178.1921152,-1.1984418,316.8190000,12.5018000
K2-6 b,K2-6,0.189800,0.223,,0.96,0.97,178.1921152,-1.1984418,316.8190000,12.5018000
Kepler-1203 b,Kepler-1203,0.011400,,,0.56,0.57,292.7734523,44.1780880,317.0220000,14.9147000
Kepler-1203 b,Kepler-1203,,,,0.77,0.63,292.7734523,44.1780880,317.0220000,14.9147000
Kepler-1203 b,Kepler-1203,0.011400,,,0.56,0.57,292.7734523,44.1780880,317.0220000,14.9147000
Kepler-1203 b,Kepler-1203,0.011400,,,0.56,0.57,292.7734523,44.1780880,317.0220000,14.9147000
Kepler-1203 b,Kepler-1203,,0.095,,0.61,0.64,292.7734523,44.1780880,317.0220000,14.9147000
Kepler-1203 b,Kepler-1203,0.011000,,,0.53,0.56,292.7734523,44.1780880,317.0220000,14.9147000
Kepler-1203 b,Kepler-1203,,,,0.77,0.63,292.7734523,44.1780880,317.0220000,14.9147000
Kepler-1203 b,Kepler-1203,,0.108,,0.70,,292.7734523,44.1780880,317.0220000,14.9147000
Kepler-1203 b,Kepler-1203,0.011400,,,0.57,0.58,292.7734523,44.1780880,317.0220000,14.9147000
Kepler-1627 b,Kepler-1627,,0.329,,0.84,0.87,284.0566675,41.5767277,317.4370000,13.0492000
Kepler-1627 b,Kepler-1627,,,,0.75,0.99,284.0566675,41.5767277,317.4370000,13.0492000
Kepler-1627 b,Kepler-1627,,0.335,,0.88,,284.0566675,41.5767277,317.4370000,13.0492000
Kepler-1627 b,Kepler-1627,,,,0.75,0.99,284.0566675,41.5767277,317.4370000,13.0492000
Kepler-1627 b,Kepler-1627,0.064300,,,0.72,0.68,284.0566675,41.5767277,317.4370000,13.0492000
Kepler-1627 b,Kepler-1627,0.064300,,,0.72,0.68,284.0566675,41.5767277,317.4370000,13.0492000
Kepler-1627 b,Kepler-1627,0.064300,,,0.72,0.68,284.0566675,41.5767277,317.4370000,13.0492000
Kepler-261 b,Kepler-261,,0.187,,0.75,,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,0.088600,,,0.77,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,,0.202,,0.80,0.85,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,,,,0.74,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,,,,0.74,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,0.087100,,,0.78,0.82,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,,,,0.74,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,0.089000,,,0.80,0.88,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,0.088600,,,0.77,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,0.088600,,,0.77,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 b,Kepler-261,0.088000,0.194,,0.79,,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,,0.194,,0.80,0.85,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,0.156000,0.178,,0.79,,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,,,,0.74,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,,,,0.74,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,0.157400,,,0.77,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,0.158000,,,0.80,0.88,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,0.157400,,,0.77,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,,,,0.74,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,0.157400,,,0.77,0.86,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,0.154700,,,0.78,0.82,291.3647333,37.6092390,317.4990000,13.5287000
Kepler-261 c,Kepler-261,,0.242,,0.75,,291.3647333,37.6092390,317.4990000,13.5287000
WASP-22 b,WASP-22,0.046980,1.158,0.58800,1.22,1.11,52.8180374,-23.8197924,317.6520000,11.5821000
WASP-22 b,WASP-22,,1.230,0.67000,1.24,1.46,52.8180374,-23.8197924,317.6520000,11.5821000
WASP-22 b,WASP-22,,,0.56900,,1.11,52.8180374,-23.8197924,317.6520000,11.5821000
WASP-22 b,WASP-22,0.048900,1.199,0.61700,1.25,1.25,52.8180374,-23.8197924,317.6520000,11.5821000
WASP-22 b,WASP-22,0.047000,1.158,0.57000,1.22,1.11,52.8180374,-23.8197924,317.6520000,11.5821000
WASP-22 b,WASP-22,0.046800,1.120,0.56000,1.13,1.10,52.8180374,-23.8197924,317.6520000,11.5821000
Kepler-1105 b,Kepler-1105,0.046100,,,0.66,0.67,281.1117588,42.4549698,318.0040000,15.1422000
Kepler-1105 b,Kepler-1105,0.046100,,,0.66,0.67,281.1117588,42.4549698,318.0040000,15.1422000
Kepler-1105 b,Kepler-1105,,0.179,,0.68,0.71,281.1117588,42.4549698,318.0040000,15.1422000
Kepler-1105 b,Kepler-1105,,,,0.66,0.64,281.1117588,42.4549698,318.0040000,15.1422000
Kepler-1105 b,Kepler-1105,,,,0.66,0.64,281.1117588,42.4549698,318.0040000,15.1422000
Kepler-1105 b,Kepler-1105,0.046100,,,0.66,0.67,281.1117588,42.4549698,318.0040000,15.1422000
Kepler-1105 b,Kepler-1105,,,,0.66,0.64,281.1117588,42.4549698,318.0040000,15.1422000
Kepler-1105 b,Kepler-1105,,0.163,,0.58,,281.1117588,42.4549698,318.0040000,15.1422000
Kepler-1105 b,Kepler-1105,0.044000,,,0.55,0.58,281.1117588,42.4549698,318.0040000,15.1422000
Kepler-1105 b,Kepler-1105,0.047100,,,0.70,0.71,281.1117588,42.4549698,318.0040000,15.1422000
K2-221 b,K2-221,,0.177,,1.07,,16.6550286,10.1897385,318.8100000,12.4149000
K2-221 b,K2-221,,0.150,,0.95,1.01,16.6550286,10.1897385,318.8100000,12.4149000
TOI-1298 b,TOI-1298,,,,1.49,,241.3229012,70.1900397,319.0360000,11.4038000
TOI-1298 b,TOI-1298,0.059000,0.841,0.35600,1.41,1.44,241.3229012,70.1900397,319.0360000,11.4038000
Kepler-1331 b,Kepler-1331,,0.094,,0.69,0.72,297.0737928,41.2244613,319.1970000,15.0318000
Kepler-1331 b,Kepler-1331,0.014200,,,0.62,0.61,297.0737928,41.2244613,319.1970000,15.0318000
Kepler-1331 b,Kepler-1331,0.014200,,,0.62,0.61,297.0737928,41.2244613,319.1970000,15.0318000
Kepler-1331 b,Kepler-1331,,0.080,,0.61,,297.0737928,41.2244613,319.1970000,15.0318000
Kepler-1331 b,Kepler-1331,0.014200,,,0.62,0.61,297.0737928,41.2244613,319.1970000,15.0318000
Kepler-1331 b,Kepler-1331,0.014000,,,0.55,0.58,297.0737928,41.2244613,319.1970000,15.0318000
Kepler-1331 b,Kepler-1331,,,,0.66,0.66,297.0737928,41.2244613,319.1970000,15.0318000
Kepler-1331 b,Kepler-1331,,,,0.66,0.66,297.0737928,41.2244613,319.1970000,15.0318000
Kepler-1331 b,Kepler-1331,0.014200,,,0.62,0.61,297.0737928,41.2244613,319.1970000,15.0318000
Kepler-1444 b,Kepler-1444,0.202600,,,0.90,0.99,285.3306799,42.0405016,319.6750000,12.2578000
Kepler-1444 b,Kepler-1444,,,,1.06,1.01,285.3306799,42.0405016,319.6750000,12.2578000
Kepler-1444 b,Kepler-1444,,0.204,,0.99,,285.3306799,42.0405016,319.6750000,12.2578000
Kepler-1444 b,Kepler-1444,,,,1.06,1.01,285.3306799,42.0405016,319.6750000,12.2578000
Kepler-1444 b,Kepler-1444,,0.194,,1.05,1.03,285.3306799,42.0405016,319.6750000,12.2578000
Kepler-1444 b,Kepler-1444,0.201500,,,1.07,0.98,285.3306799,42.0405016,319.6750000,12.2578000
Kepler-1444 b,Kepler-1444,,,,1.06,1.01,285.3306799,42.0405016,319.6750000,12.2578000
Kepler-1444 b,Kepler-1444,0.202600,,,0.90,0.99,285.3306799,42.0405016,319.6750000,12.2578000
Kepler-1444 b,Kepler-1444,0.202600,,,0.90,0.99,285.3306799,42.0405016,319.6750000,12.2578000
EPIC 212587672 b,EPIC 212587672,,0.124,,0.98,,205.4445125,-10.8625468,320.0700000,12.2038000
EPIC 212587672 b,EPIC 212587672,,0.112,,0.98,0.99,205.4445125,-10.8625468,320.0700000,12.2038000
EPIC 212587672 b,EPIC 212587672,,0.100,,,0.95,205.4445125,-10.8625468,320.0700000,12.2038000
EPIC 212587672 c,EPIC 212587672,,0.206,,0.98,,205.4445125,-10.8625468,320.0700000,12.2038000
EPIC 212587672 c,EPIC 212587672,,0.210,,0.95,,205.4445125,-10.8625468,320.0700000,12.2038000
EPIC 212587672 c,EPIC 212587672,,0.207,,0.98,0.99,205.4445125,-10.8625468,320.0700000,12.2038000
EPIC 212587672 c,EPIC 212587672,,,,0.95,1.13,205.4445125,-10.8625468,320.0700000,12.2038000
EPIC 212587672 c,EPIC 212587672,,,,0.95,1.13,205.4445125,-10.8625468,320.0700000,12.2038000
EPIC 212587672 c,EPIC 212587672,,0.200,,0.95,,205.4445125,-10.8625468,320.0700000,12.2038000
K2-347 b,K2-347,,0.215,,0.63,0.66,126.3726821,23.2974061,320.3360000,14.8131000
K2-347 b,K2-347,,,,0.62,0.69,126.3726821,23.2974061,320.3360000,14.8131000
K2-347 b,K2-347,,0.230,,0.58,,126.3726821,23.2974061,320.3360000,14.8131000
HAT-P-4 b,HAT-P-4,,,0.63900,,1.26,229.9912200,36.2295450,320.4510000,11.0634000
HAT-P-4 b,HAT-P-4,0.044600,1.270,0.68000,1.59,1.26,229.9912200,36.2295450,320.4510000,11.0634000
HAT-P-4 b,HAT-P-4,0.044650,1.337,0.68000,1.60,1.27,229.9912200,36.2295450,320.4510000,11.0634000
HAT-P-4 b,HAT-P-4,,1.367,0.55600,1.62,0.56,229.9912200,36.2295450,320.4510000,11.0634000
HAT-P-4 b,HAT-P-4,,,,,,229.9912200,36.2295450,320.4510000,11.0634000
HAT-P-4 b,HAT-P-4,0.044490,1.274,0.65100,1.60,1.25,229.9912200,36.2295450,320.4510000,11.0634000
HAT-P-4 b,HAT-P-4,0.044380,1.274,0.67100,,,229.9912200,36.2295450,320.4510000,11.0634000
HAT-P-4 b,HAT-P-4,,1.332,0.68000,1.60,1.26,229.9912200,36.2295450,320.4510000,11.0634000
HAT-P-4 b,HAT-P-4,0.044500,,,1.59,1.26,229.9912200,36.2295450,320.4510000,11.0634000
Kepler-1507 b,Kepler-1507,,0.069,,0.81,,288.5616269,46.5361247,320.4780000,13.1038000
Kepler-1507 b,Kepler-1507,,,,0.81,0.92,288.5616269,46.5361247,320.4780000,13.1038000
Kepler-1507 b,Kepler-1507,0.123400,,,0.85,0.97,288.5616269,46.5361247,320.4780000,13.1038000
Kepler-1507 b,Kepler-1507,,0.075,,0.85,0.89,288.5616269,46.5361247,320.4780000,13.1038000
Kepler-1507 b,Kepler-1507,0.115500,,,0.91,0.80,288.5616269,46.5361247,320.4780000,13.1038000
Kepler-1507 b,Kepler-1507,,,,0.81,0.92,288.5616269,46.5361247,320.4780000,13.1038000
Kepler-1507 b,Kepler-1507,,,,0.81,0.92,288.5616269,46.5361247,320.4780000,13.1038000
Kepler-1507 b,Kepler-1507,0.115500,,,0.91,0.80,288.5616269,46.5361247,320.4780000,13.1038000
Kepler-1507 b,Kepler-1507,0.115500,,,0.91,0.80,288.5616269,46.5361247,320.4780000,13.1038000
HAT-P-56 b,HAT-P-56,,1.704,,1.80,,100.8480137,27.2521823,320.6390000,10.8245000
HAT-P-56 b,HAT-P-56,0.044700,1.517,,1.88,1.53,100.8480137,27.2521823,320.6390000,10.8245000
HAT-P-56 b,HAT-P-56,,,,,,100.8480137,27.2521823,320.6390000,10.8245000
HAT-P-56 b,HAT-P-56,,1.492,,1.44,,100.8480137,27.2521823,320.6390000,10.8245000
HAT-P-56 b,HAT-P-56,0.042320,1.466,1.90000,1.43,1.30,100.8480137,27.2521823,320.6390000,10.8245000
HAT-P-56 b,HAT-P-56,,,,1.43,1.30,100.8480137,27.2521823,320.6390000,10.8245000
HAT-P-56 b,HAT-P-56,,1.510,2.31000,1.47,1.42,100.8480137,27.2521823,320.6390000,10.8245000
HAT-P-56 b,HAT-P-56,0.042300,1.466,2.18000,1.43,1.30,100.8480137,27.2521823,320.6390000,10.8245000
WASP-56 b,WASP-56,,0.940,0.45000,0.96,0.71,183.3660401,23.0556870,321.0840000,12.0028000
WASP-56 b,WASP-56,0.056140,1.092,0.59900,1.11,1.11,183.3660401,23.0556870,321.0840000,12.0028000
WASP-56 b,WASP-56,0.054580,1.092,0.57100,1.11,1.02,183.3660401,23.0556870,321.0840000,12.0028000
WASP-56 b,WASP-56,,,,1.11,1.02,183.3660401,23.0556870,321.0840000,12.0028000
K2-231 b,K2-231,,0.249,,1.03,,289.0918242,-15.7712178,321.2150000,12.5593000
K2-231 b,K2-231,,0.223,,0.95,1.01,289.0918242,-15.7712178,321.2150000,12.5593000
EPIC 249893012 b,EPIC 249893012,0.047000,0.174,0.02753,1.71,1.05,228.2482353,-16.7246474,321.2960000,11.4019000
EPIC 249893012 c,EPIC 249893012,0.130000,0.327,0.04616,1.71,1.05,228.2482353,-16.7246474,321.2960000,11.4019000
EPIC 249893012 d,EPIC 249893012,0.220000,0.352,0.03203,1.71,1.05,228.2482353,-16.7246474,321.2960000,11.4019000
KELT-18 b,KELT-18,,,,1.91,1.48,216.5238248,59.4442735,321.3760000,10.1036000
KELT-18 b,KELT-18,0.045500,1.570,1.18000,1.91,1.52,216.5238248,59.4442735,321.3760000,10.1036000
KELT-18 b,KELT-18,,,,1.91,1.52,216.5238248,59.4442735,321.3760000,10.1036000
Kepler-52 b,Kepler-52,0.063900,,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,0.063900,,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,0.063900,,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,,,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,,,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,,0.194,,0.62,,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,,0.187,0.42476,0.52,0.54,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,0.063700,0.172,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,0.065000,,,0.55,0.58,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,,0.225,0.25000,0.62,0.66,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,,0.224,,0.62,0.66,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,0.066500,,,0.61,0.63,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 b,Kepler-52,,0.241,,0.63,0.66,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,,0.191,,0.63,0.66,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,,0.180,,0.62,,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,0.108400,,,0.61,0.63,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,0.104100,,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,,0.170,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,0.104100,,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,,0.196,,0.62,0.66,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,,0.164,0.14284,0.52,0.54,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,,0.196,0.19800,0.62,0.66,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,0.103790,0.151,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,,,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,,,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,,,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,0.105000,,,0.55,0.58,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 c,Kepler-52,0.104100,,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,,,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,,0.175,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,0.179000,,,0.55,0.58,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,0.182000,0.174,,0.56,,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,0.177400,,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,0.184700,,,0.61,0.63,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,,,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,,0.191,,0.63,0.66,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,0.177400,,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,,0.179,,0.62,,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,,,,0.68,0.64,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,,0.198,,0.62,0.66,286.7380152,49.9757383,321.5420000,15.0589000
Kepler-52 d,Kepler-52,0.177400,,,0.54,0.56,286.7380152,49.9757383,321.5420000,15.0589000
K2-118 b,K2-118,,0.221,,0.70,,132.1268608,15.6558964,321.7220000,13.7484000
K2-118 b,K2-118,0.245000,0.227,,0.73,0.76,132.1268608,15.6558964,321.7220000,13.7484000
CoRoT-8 b,CoRoT-8,0.063000,0.570,0.22000,0.77,0.88,291.5885696,1.4262972,322.0370000,14.2195000
CoRoT-8 b,CoRoT-8,0.063600,0.619,0.21800,0.80,0.89,291.5885696,1.4262972,322.0370000,14.2195000
CoRoT-8 b,CoRoT-8,0.063390,0.570,0.21800,0.77,0.88,291.5885696,1.4262972,322.0370000,14.2195000
CoRoT-8 b,CoRoT-8,0.063300,0.712,0.21600,0.90,0.88,291.5885696,1.4262972,322.0370000,14.2195000
WASP-24 b,WASP-24,0.036070,1.300,1.06000,1.33,1.15,227.2154975,2.3432860,322.1140000,11.3945000
WASP-24 b,WASP-24,,,,1.33,1.18,227.2154975,2.3432860,322.1140000,11.3945000
WASP-24 b,WASP-24,,,1.11900,,1.18,227.2154975,2.3432860,322.1140000,11.3945000
WASP-24 b,WASP-24,0.036510,1.300,1.07100,1.33,1.18,227.2154975,2.3432860,322.1140000,11.3945000
WASP-24 b,WASP-24,0.036350,1.303,1.10900,1.32,1.17,227.2154975,2.3432860,322.1140000,11.3945000
WASP-24 b,WASP-24,,,,,,227.2154975,2.3432860,322.1140000,11.3945000
WASP-24 b,WASP-24,,1.380,1.24000,1.42,1.43,227.2154975,2.3432860,322.1140000,11.3945000
NGTS-14 A b,NGTS-14 A,0.040300,0.444,0.09200,0.84,0.90,328.5174799,-38.3774193,322.1480000,13.0986000
TOI-1296 b,TOI-1296,,,,1.75,,256.7706392,70.2384806,323.2650000,11.2912000
TOI-1296 b,TOI-1296,0.049700,1.231,0.29800,1.66,1.17,256.7706392,70.2384806,323.2650000,11.2912000
HD 112640 b,HD 112640,1.700000,,,39.00,1.80,194.2415171,67.2429122,323.3350000,6.0766400
Kepler-32 b,Kepler-32,,0.201,0.03000,0.53,0.57,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,0.051900,0.196,,0.53,0.54,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,,0.201,,0.54,0.57,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,0.051000,,,0.50,0.51,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,0.051400,,,0.50,0.52,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,,0.190,,0.57,0.57,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,0.052000,,,0.52,0.55,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,,,,0.57,0.57,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,0.051400,,,0.50,0.52,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,,0.192,,0.51,0.51,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,,0.201,,0.53,0.57,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,0.051400,,,0.50,0.52,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,,0.199,,0.57,,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,,,,0.57,0.57,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,0.051510,0.180,,0.50,0.52,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 b,Kepler-32,0.050000,0.196,4.10000,0.53,0.58,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 c,Kepler-32,,0.180,0.02400,0.53,0.57,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 c,Kepler-32,0.066900,,,0.50,0.52,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 c,Kepler-32,,,,0.57,0.57,297.8423073,46.5743595,323.8470000,15.8123000
Kepler-32 c,Kepler-32,0.066990,0.186,,0.50,0.52,297.8423073,46.5743595,323.8470000,15.8123000
