# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 28 01:02:29 2022
#
# User preference: *
#
# CONSTRAINT:  order by sy_dist asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,pl_rade,pl_radj,pl_masse,pl_massj,ra,dec,sy_dist,sy_gaiamag
Kepler-531 b,Kepler-531,2.780,0.248,,,286.5246582,48.6835481,252.7620000,13.2923000
Kepler-531 b,Kepler-531,2.720,,,,286.5246582,48.6835481,252.7620000,13.2923000
Kepler-531 b,Kepler-531,2.770,,,,286.5246582,48.6835481,252.7620000,13.2923000
Kepler-531 b,Kepler-531,2.770,,,,286.5246582,48.6835481,252.7620000,13.2923000
Kepler-531 b,Kepler-531,,,,,286.5246582,48.6835481,252.7620000,13.2923000
Kepler-531 b,Kepler-531,2.770,,,,286.5246582,48.6835481,252.7620000,13.2923000
Kepler-531 b,Kepler-531,2.810,,,,286.5246582,48.6835481,252.7620000,13.2923000
EPIC 201497682 b,EPIC 201497682,0.692,0.062,,,168.9366786,0.4880606,253.0260000,13.7368000
Kepler-523 b,Kepler-523,1.930,,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-523 b,Kepler-523,1.930,,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-523 b,Kepler-523,1.960,0.175,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-523 b,Kepler-523,,,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-523 b,Kepler-523,1.920,,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-523 b,Kepler-523,,,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-523 b,Kepler-523,1.874,0.167,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-523 b,Kepler-523,2.170,,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-523 b,Kepler-523,,,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-523 b,Kepler-523,1.930,,,,284.0611224,45.5068127,253.2950000,12.4810000
Kepler-901 b,Kepler-901,1.210,,,,291.1528056,40.8876814,253.8670000,14.6803000
Kepler-901 b,Kepler-901,,,,,291.1528056,40.8876814,253.8670000,14.6803000
Kepler-901 b,Kepler-901,1.540,0.137,,,291.1528056,40.8876814,253.8670000,14.6803000
Kepler-901 b,Kepler-901,1.210,,,,291.1528056,40.8876814,253.8670000,14.6803000
Kepler-901 b,Kepler-901,,,,,291.1528056,40.8876814,253.8670000,14.6803000
Kepler-901 b,Kepler-901,1.420,,,,291.1528056,40.8876814,253.8670000,14.6803000
Kepler-901 b,Kepler-901,1.210,,,,291.1528056,40.8876814,253.8670000,14.6803000
Kepler-901 b,Kepler-901,1.370,0.122,,,291.1528056,40.8876814,253.8670000,14.6803000
Kepler-901 b,Kepler-901,1.240,,,,291.1528056,40.8876814,253.8670000,14.6803000
Kepler-901 b,Kepler-901,,,,,291.1528056,40.8876814,253.8670000,14.6803000
WASP-180 A b,WASP-180 A,13.899,1.240,286.04700,0.90000,123.3922465,-1.9827874,253.9850000,10.9134000
HAT-P-38 b,HAT-P-38,9.247,0.825,84.85700,0.26700,35.3834942,32.2460441,255.2060000,12.3021000
HAT-P-38 b,HAT-P-38,,,,,35.3834942,32.2460441,255.2060000,12.3021000
HAT-P-38 b,HAT-P-38,,,,,35.3834942,32.2460441,255.2060000,12.3021000
HAT-P-38 b,HAT-P-38,9.247,0.825,84.86061,0.26700,35.3834942,32.2460441,255.2060000,12.3021000
K2-79 b,K2-79,4.550,0.406,,,55.2559307,13.5191871,256.0110000,11.8031000
K2-79 b,K2-79,3.147,0.281,,,55.2559307,13.5191871,256.0110000,11.8031000
K2-79 b,K2-79,3.690,0.329,,,55.2559307,13.5191871,256.0110000,11.8031000
K2-208 b,K2-208,1.679,0.150,,,20.7789809,0.8890076,256.8870000,12.3135000
K2-208 b,K2-208,1.750,0.156,,,20.7789809,0.8890076,256.8870000,12.3135000
EPIC 201833600 c,K2-50,1.000,0.089,,,169.4836540,5.9882890,257.4430000,14.2575000
EPIC 201833600 c,K2-50,1.480,0.132,,,169.4836540,5.9882890,257.4430000,14.2575000
K2-50 b,K2-50,2.460,0.219,,,169.4836540,5.9882890,257.4430000,14.2575000
K2-50 b,K2-50,2.290,0.204,,,169.4836540,5.9882890,257.4430000,14.2575000
K2-50 b,K2-50,1.590,0.142,,,169.4836540,5.9882890,257.4430000,14.2575000
K2-247 b,K2-247,2.120,0.189,,,188.8935189,-10.0692793,258.1130000,14.3583000
K2-247 c,K2-247,2.190,0.195,,,188.8935189,-10.0692793,258.1130000,14.3583000
WASP-21 b,WASP-21,11.990,1.070,95.34500,0.30000,347.4928024,18.3961597,258.4260000,11.3987000
WASP-21 b,WASP-21,,,,,347.4928024,18.3961597,258.4260000,11.3987000
WASP-21 b,WASP-21,,,,,347.4928024,18.3961597,258.4260000,11.3987000
WASP-21 b,WASP-21,,,,,347.4928024,18.3961597,258.4260000,11.3987000
WASP-21 b,WASP-21,14.157,1.263,93.75985,0.29500,347.4928024,18.3961597,258.4260000,11.3987000
WASP-21 b,WASP-21,12.890,1.150,92.17070,0.29000,347.4928024,18.3961597,258.4260000,11.3987000
WASP-21 b,WASP-21,11.994,1.070,94.39551,0.29700,347.4928024,18.3961597,258.4260000,11.3987000
K2-86 b,K2-86,1.975,0.176,,,51.5531053,18.6355718,258.6990000,12.7978000
K2-86 b,K2-86,5.100,0.450,,,51.5531053,18.6355718,258.6990000,12.7978000
K2-86 b,K2-86,1.960,0.175,,,51.5531053,18.6355718,258.6990000,12.7978000
Kepler-953 b,Kepler-953,4.270,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 b,Kepler-953,,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 b,Kepler-953,4.610,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 b,Kepler-953,4.210,0.376,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 b,Kepler-953,,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 b,Kepler-953,4.550,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 b,Kepler-953,4.270,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 b,Kepler-953,,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 b,Kepler-953,4.270,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 c,Kepler-953,1.160,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 c,Kepler-953,,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 c,Kepler-953,,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 c,Kepler-953,1.320,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 c,Kepler-953,1.160,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 c,Kepler-953,1.190,0.106,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 c,Kepler-953,1.160,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-953 c,Kepler-953,,,,,288.9716297,44.6246451,258.8930000,12.1425000
Kepler-1624 b,Kepler-1624,,,,,292.5798564,37.3762616,258.9790000,15.6681000
Kepler-1624 b,Kepler-1624,6.528,0.582,,,292.5798564,37.3762616,258.9790000,15.6681000
Kepler-1624 b,Kepler-1624,2.270,,,,292.5798564,37.3762616,258.9790000,15.6681000
Kepler-1624 b,Kepler-1624,2.270,,,,292.5798564,37.3762616,258.9790000,15.6681000
Kepler-1624 b,Kepler-1624,4.910,,,,292.5798564,37.3762616,258.9790000,15.6681000
Kepler-1624 b,Kepler-1624,5.700,0.509,,,292.5798564,37.3762616,258.9790000,15.6681000
Kepler-1624 b,Kepler-1624,,,,,292.5798564,37.3762616,258.9790000,15.6681000
Kepler-1624 b,Kepler-1624,,,,,292.5798564,37.3762616,258.9790000,15.6681000
K2-389 b,K2-389,2.118,0.189,,,355.6304152,-9.7135814,259.2080000,11.5697000
K2-389 b,K2-389,2.184,0.195,,,355.6304152,-9.7135814,259.2080000,11.5697000
K2-389 c,K2-389,2.040,0.182,,,355.6304152,-9.7135814,259.2080000,11.5697000
K2-389 c,K2-389,2.040,0.182,,,355.6304152,-9.7135814,259.2080000,11.5697000
Kepler-1089 b,Kepler-1089,1.850,,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-1089 b,Kepler-1089,1.644,0.147,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-1089 b,Kepler-1089,,,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-1089 b,Kepler-1089,1.830,0.163,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-1089 b,Kepler-1089,,,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-1089 b,Kepler-1089,1.500,,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-1089 b,Kepler-1089,1.850,,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-1089 b,Kepler-1089,1.690,,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-1089 b,Kepler-1089,1.850,,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-1089 b,Kepler-1089,,,,,291.0926509,49.1901729,259.3280000,15.5982000
Kepler-114 b,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.320,0.118,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.180,0.105,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.260,0.112,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.000,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.180,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.330,0.119,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.020,0.091,6.80000,0.02100,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.000,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.000,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.040,0.093,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 b,Kepler-114,1.000,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.280,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.280,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.280,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.360,0.121,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.390,0.124,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.290,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.290,0.115,40.00000,0.12600,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.600,0.143,2.80000,0.00900,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.700,0.152,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.600,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 c,Kepler-114,1.715,0.153,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,1.950,0.174,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,2.050,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,2.080,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,2.530,0.226,3.90000,0.01200,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,2.760,0.246,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,2.020,0.180,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,2.710,0.242,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,2.050,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,2.050,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-114 d,Kepler-114,2.530,,,,294.1214820,48.3497977,259.5330000,13.7125000
Kepler-992 b,Kepler-992,1.620,0.145,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-992 b,Kepler-992,3.780,,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-992 b,Kepler-992,1.744,0.156,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-992 b,Kepler-992,1.750,,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-992 b,Kepler-992,,,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-992 b,Kepler-992,,,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-992 b,Kepler-992,,,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-992 b,Kepler-992,3.790,,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-992 b,Kepler-992,3.780,,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-992 b,Kepler-992,3.780,,,,284.4304085,47.6416613,259.6390000,13.3901000
Kepler-1876 b,Kepler-1876,1.060,,,,299.1604859,41.1437964,259.9350000,10.7582000
Kepler-1876 b,Kepler-1876,0.980,0.087,,,299.1604859,41.1437964,259.9350000,10.7582000
Kepler-1876 b,Kepler-1876,1.250,,,,299.1604859,41.1437964,259.9350000,10.7582000
Kepler-1876 b,Kepler-1876,1.560,,,,299.1604859,41.1437964,259.9350000,10.7582000
Kepler-1876 b,Kepler-1876,1.250,,,,299.1604859,41.1437964,259.9350000,10.7582000
Kepler-1876 b,Kepler-1876,1.250,,,,299.1604859,41.1437964,259.9350000,10.7582000
Kepler-1876 b,Kepler-1876,,,,,299.1604859,41.1437964,259.9350000,10.7582000
WASP-163 b,WASP-163,13.473,1.202,594.34210,1.87000,256.5375549,-10.4130071,261.3860000,12.2511000
TOI-2109 b,TOI-2109,15.098,1.347,1595.49860,5.02000,253.1862971,16.5799153,262.0410000,10.1138000
TOI-2109 b,TOI-2109,15.729,,,,253.1862971,16.5799153,262.0410000,10.1138000
Kepler-113 b,Kepler-113,2.000,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,1.900,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,1.900,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,1.990,0.178,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,1.900,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,1.820,0.162,11.70000,0.03700,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,2.070,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,2.164,0.193,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 b,Kepler-113,,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,2.545,0.227,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,2.540,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,2.540,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,2.470,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,2.620,0.234,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,2.540,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,2.360,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,2.180,0.194,8.70000,0.02737,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,,,,,287.9978721,50.9441847,262.3510000,13.4598000
Kepler-113 c,Kepler-113,,,,,287.9978721,50.9441847,262.3510000,13.4598000
KPS-1 b,KPS-1,11.545,1.030,346.43470,1.09000,165.1671980,64.9638452,262.7060000,12.7933000
KPS-1 b,KPS-1,,,,,165.1671980,64.9638452,262.7060000,12.7933000
TOI-813 b,TOI-813,4.382,,,,72.6940102,-60.9054608,263.1450000,10.2352000
TOI-813 b,TOI-813,6.710,0.599,,,72.6940102,-60.9054608,263.1450000,10.2352000
HATS-48 A b,HATS-48 A,8.722,,,,288.6720048,-59.5793505,263.6090000,13.8951000
HATS-48 A b,HATS-48 A,8.967,0.800,77.23269,0.24300,288.6720048,-59.5793505,263.6090000,13.8951000
Kepler-1783 b,Kepler-1783,1.319,0.118,,,297.0210984,41.3771655,264.0780000,13.0982000
Kepler-1783 b,Kepler-1783,2.380,,,,297.0210984,41.3771655,264.0780000,13.0982000
Kepler-1783 b,Kepler-1783,2.460,,,,297.0210984,41.3771655,264.0780000,13.0982000
Kepler-1783 b,Kepler-1783,,,,,297.0210984,41.3771655,264.0780000,13.0982000
Kepler-1783 b,Kepler-1783,2.400,,,,297.0210984,41.3771655,264.0780000,13.0982000
Kepler-1783 b,Kepler-1783,,,,,297.0210984,41.3771655,264.0780000,13.0982000
Kepler-1783 b,Kepler-1783,2.380,,,,297.0210984,41.3771655,264.0780000,13.0982000
Kepler-1783 b,Kepler-1783,2.380,,,,297.0210984,41.3771655,264.0780000,13.0982000
K2-57 b,K2-57,2.100,0.187,,,342.6918241,-14.0700007,264.2130000,14.1038000
K2-57 b,K2-57,2.530,0.226,,,342.6918241,-14.0700007,264.2130000,14.1038000
K2-57 b,K2-57,2.180,0.194,,,342.6918241,-14.0700007,264.2130000,14.1038000
WASP-47 b,WASP-47,,,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,12.300,1.097,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,12.630,1.127,363.10000,1.14243,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,13.180,1.176,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,12.710,1.134,370.00000,1.16414,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,,,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,10.500,0.937,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,12.900,1.150,383.00000,1.21000,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,12.770,1.139,341.00000,1.07290,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,,,359.14790,1.13000,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,,,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 b,WASP-47,12.890,1.150,362.31100,1.14000,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 c,WASP-47,,,500.00000,1.57000,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 c,WASP-47,,,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 c,WASP-47,,,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 d,WASP-47,3.630,0.324,15.20000,0.04782,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 d,WASP-47,3.710,0.331,16.80000,0.05286,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 d,WASP-47,3.576,0.319,13.10000,0.04122,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 d,WASP-47,3.180,0.284,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 d,WASP-47,3.600,0.321,10.40000,0.03272,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 d,WASP-47,3.060,0.273,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 e,WASP-47,1.829,0.163,22.00000,0.06922,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 e,WASP-47,1.640,0.146,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 e,WASP-47,1.500,0.134,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 e,WASP-47,1.817,0.162,12.20000,0.03839,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 e,WASP-47,1.810,0.161,6.83000,0.02149,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 e,WASP-47,1.773,0.158,6.91000,0.02174,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 e,WASP-47,1.790,0.160,,,331.2030920,-12.0190670,264.7800000,11.7889000
WASP-47 e,WASP-47,1.820,0.162,9.10000,0.02863,331.2030920,-12.0190670,264.7800000,11.7889000
Kepler-267 b,Kepler-267,2.120,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,1.650,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,2.109,0.188,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,1.924,0.172,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,1.980,0.177,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,2.110,0.188,37.90000,0.11900,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,2.000,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,2.120,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,2.120,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,1.970,0.176,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,1.790,0.160,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,1.860,0.166,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 b,Kepler-267,2.430,0.217,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.652,0.237,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.500,0.223,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.020,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.130,0.190,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.020,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.310,0.206,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.320,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.050,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.020,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.100,0.187,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,2.392,0.213,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 c,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,2.010,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,2.270,0.203,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,2.350,0.210,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,2.180,0.194,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,2.310,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,1.930,0.172,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,2.310,0.206,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,1.870,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,2.010,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,2.010,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,,,,,299.8305655,47.1575741,264.9930000,15.4693000
Kepler-267 d,Kepler-267,2.220,0.198,,,299.8305655,47.1575741,264.9930000,15.4693000
HAT-P-59 b,HAT-P-59,13.023,,,,292.4588212,62.5291892,265.4710000,11.6787000
HAT-P-59 b,HAT-P-59,12.588,1.123,489.45575,1.54000,292.4588212,62.5291892,265.4710000,11.6787000
Kepler-1229 b,Kepler-1229,1.120,,,,297.4868347,46.9966782,265.4820000,15.5104000
Kepler-1229 b,Kepler-1229,,,,,297.4868347,46.9966782,265.4820000,15.5104000
Kepler-1229 b,Kepler-1229,1.340,0.120,,,297.4868347,46.9966782,265.4820000,15.5104000
Kepler-1229 b,Kepler-1229,1.400,0.125,,,297.4868347,46.9966782,265.4820000,15.5104000
Kepler-1229 b,Kepler-1229,1.120,,,,297.4868347,46.9966782,265.4820000,15.5104000
Kepler-1229 b,Kepler-1229,1.680,,,,297.4868347,46.9966782,265.4820000,15.5104000
Kepler-1229 b,Kepler-1229,1.120,,,,297.4868347,46.9966782,265.4820000,15.5104000
Kepler-1229 b,Kepler-1229,2.064,0.184,,,297.4868347,46.9966782,265.4820000,15.5104000
Kepler-1229 b,Kepler-1229,,,,,297.4868347,46.9966782,265.4820000,15.5104000
